Easting,Northing,Moisture,Yield
592300.625,4267866.000,10.8,6959
592301.250,4267866.000,10.8,6520
592301.938,4267866.000,10.6,7315
592301.938,4267866.000,10.5,7339
592302.625,4267866.000,10.8,5631
592303.250,4267866.000,10.8,6472
592303.938,4267866.000,10.9,7279
592304.625,4267866.000,10.7,7205
592305.250,4267866.000,10.8,6793
592305.938,4267866.000,10.8,5494
592305.938,4267866.000,11.0,7615
592306.625,4267866.000,10.8,7101
592307.250,4267866.000,10.6,5734
592307.938,4267866.000,10.8,6598
592308.563,4267866.000,10.8,7465
592308.563,4267866.000,10.9,6918
592309.250,4267866.000,10.8,7853
592309.938,4267866.000,10.6,6609
592310.563,4267866.000,10.9,8262
592311.250,4267866.000,10.9,6928
592311.938,4267866.000,11.0,5982
592311.938,4267866.000,10.8,6663
592312.563,4267866.000,10.8,6340
592313.250,4267866.000,11.0,6506
592313.938,4267866.000,11.0,7148
592314.563,4267866.000,10.8,6741
592315.250,4267866.000,10.8,6425
592315.250,4267866.000,10.8,7080
592315.875,4267866.000,11.0,6045
592316.563,4267866.000,11.2,6664
592317.250,4267866.000,10.8,7220
592317.875,4267866.000,10.6,5466
592318.563,4267866.000,11.0,6274
592318.563,4267866.000,11.0,5602
592319.250,4267866.000,11.0,6540
592319.875,4267866.000,10.8,7101
592320.563,4267866.000,10.7,6998
592321.250,4267866.000,10.9,6610
592321.875,4267866.000,10.8,7255
592321.875,4267866.000,10.9,7044
592322.563,4267866.000,10.7,7377
592323.188,4267866.000,10.5,7409
592323.875,4267866.000,10.9,6214
592324.563,4267866.500,11.0,7459
592325.188,4267866.500,11.0,6264
592325.188,4267866.500,10.8,6172
592325.875,4267866.500,10.6,7028
592326.563,4267866.500,10.8,6918
592327.188,4267866.500,10.9,5602
592327.875,4267866.500,10.9,5220
592328.563,4267866.500,10.8,5815
592328.563,4267866.500,10.5,6064
592329.188,4267866.500,10.8,6299
592329.875,4267866.500,10.9,6097
592330.500,4267866.500,10.9,6120
592331.188,4267866.500,10.8,5743
592331.875,4267866.500,10.6,6035
