Easting,Northing,Yield,Moisture,Time
592224.125,4267869,14474,16.3,936628027
592224.125,4267867.5,13670,16.8,936628029
592224.125,4267867,12415,16.7,936628031
592224.1875,4267865,15127,16.4,936628033
592224.1875,4267864,13021,16.5,936628035
592224.1875,4267862,13509,16.8,936628037
592224.1875,4267860.5,13602,16.1,936628039
592224.25,4267858.5,14261,16.4,936628041
592223.625,4267856.5,13842,16.2,936628043
592223.625,4267854.5,13161,16.4,936628045
592223.625,4267852.5,12953,16.9,936628047
592223.6875,4267850.5,13268,17.1,936628049
592223.6875,4267849,12428,16.9,936628051
592224.375,4267847,12806,16.4,936628053
592224.375,4267845,13300,16.3,936628055
592224.4375,4267842.5,12615,16.2,936628057
592223.75,4267840.5,12637,16.5,936628059
592223.8125,4267839,13442,17,936628061
592223.8125,4267836.5,12440,16.4,936628063
592223.875,4267834.5,11794,16.3,936628065
592223.875,4267832,11291,16.2,936628067
592223.875,4267830,10133,15.7,936628069
592223.9375,4267827.5,8843,16.2,936628071
592223.9375,4267825,10335,16.1,936628073
592224,4267822.5,10615,16.2,936628075
592224,4267820,12066,16.8,936628077
592224.0625,4267817.5,12340,16.2,936628079
592224.0625,4267814.5,13872,16.6,936628081
592224.125,4267812,15221,16.3,936628083
592224.125,4267809.5,14855,16.3,936628085
592224.1875,4267807,14748,16,936628087
592224.875,4267805,14766,16.4,936628089
592224.875,4267802,13506,16.3,936628091
592224.9375,4267800,14287,16.3,936628093
592224.9375,4267797.5,14524,15.9,936628095
592225,4267795,15375,16.2,936628097
592225,4267792.5,12601,16,936628099
592225,4267789.5,14411,17.2,936628101
592225.0625,4267787,15736,16.9,936628103
592225.0625,4267784.5,11934,16.8,936628105
592225.125,4267782,9970,17.1,936628107
592225.125,4267779.5,4281,16.8,936628109
592225.1875,4267777.5,1070,16.3,936628111
592225.1875,4267774.5,1863,16.7,936628113
592225.25,4267772.5,3441,16.8,936628115
592225.25,4267772.5,8936,16.6,936628117
592225.25,4267773,4122,15.9,936628119
592225.1875,4267773.5,18538,16.3,936628125
592225.1875,4267773.5,6674,17.8,936628135
592228.6875,4267763.5,2537,17.2,936628441
592228,4267764,4845,16.9,936628443
592228,4267764.5,9146,16.1,936628445
592227.3125,4267764.5,11584,16.5,936628447
592227.3125,4267764.5,14674,15.9,936628449
592226.6875,4267764,14924,16.3,936628451
592226.6875,4267763,15038,15.7,936628453
592226.6875,4267762,16119,16.2,936628455
592226.6875,4267761,15854,16.4,936628457
592226.0625,4267760,14343,16.4,936628459
592226.0625,4267758.5,13638,16.5,936628461
592226.0625,4267757,14538,16.8,936628463
592226.0625,4267755.5,14113,16.3,936628465
592226.125,4267754,14216,16.1,936628467
592226.125,4267752,14074,16.8,936628469
592226.125,4267750.5,13544,16.4,936628471
592226.1875,4267748.5,14177,15.9,936628473
592226.1875,4267747,15450,16.5,936628475
592226.1875,4267745,14469,16.2,936628477
592226.25,4267743,15150,16.3,936628479
592226.25,4267741.5,13749,17,936628481
592226.25,4267739.5,14019,16.9,936628483
592226.3125,4267737.5,14363,16.5,936628485
592226.3125,4267735.5,14090,16.3,936628487
592226.3125,4267734,13730,16.5,936628489
592226.375,4267732,13761,16.7,936628491
592226.375,4267730,14230,16.3,936628493
592226.375,4267728.5,14128,16.4,936628495
592226.4375,4267726.5,13972,16.2,936628497
592226.4375,4267724.5,14628,16.5,936628499
592225.8125,4267722.5,14222,16.4,936628501
592225.8125,4267720.5,14222,16.2,936628503
592225.875,4267719,13606,16.2,936628505
592225.875,4267717,13824,16.2,936628507
592225.875,4267715,14401,15.9,936628509
592225.9375,4267713.5,14167,16.2,936628511
592225.9375,4267711.5,14461,16,936628513
592225.9375,4267709.5,14128,16.2,936628515
592226,4267707.5,13754,16.3,936628517
592226,4267705.5,14248,15.6,936628519
592226,4267704,15315,15.5,936628521
592226.0625,4267702,15396,15.7,936628523
592226.0625,4267700,13971,15.8,936628525
592226.0625,4267698.5,14358,15.2,936628527
592226.125,4267696.5,14153,16.2,936628529
592226.125,4267694.5,14272,15.6,936628531
592226.125,4267693,14177,15.2,936628533
592226.1875,4267691,13789,15.6,936628535
592226.1875,4267689,14438,15.5,936628537
592226.1875,4267687.5,14193,15.2,936628539
592226.25,4267685,13718,15.7,936628541
592226.25,4267683.5,14153,16.2,936628543
592226.25,4267682,14968,15.8,936628545
592226.3125,4267679.5,14391,16.2,936628547
592226.3125,4267678,16408,15.5,936628549
592226.3125,4267676.5,14272,15.7,936628551
592226.375,4267674,14399,15.4,936628553
592226.375,4267672.5,14572,15.7,936628555
592226.375,4267670.5,15118,15.5,936628557
592226.4375,4267668.5,13980,15.4,936628559
592226.4375,4267666.5,13987,15.7,936628561
592226.4375,4267665,14200,15.8,936628563
592226.5,4267663,14493,15,936628565
592226.5,4267661,13410,15.5,936628567
592226.5625,4267659,14311,15.9,936628569
592226.5625,4267657.5,14153,16.1,936628571
592226.5625,4267655.5,13765,15.4,936628573
592226.625,4267653.5,13741,15.9,936628575
592226.625,4267651.5,14019,16,936628577
592226.625,4267649.5,14169,16.2,936628579
592226.6875,4267648,14216,16.1,936628581
592226.6875,4267646,14200,16,936628583
592226.6875,4267644,13797,15.6,936628585
592226.75,4267642.5,13892,15.8,936628587
592226.75,4267640.5,14216,15.5,936628589
592226.75,4267638.5,14327,15.2,936628591
592226.8125,4267637,13552,17,936628593
592226.8125,4267635,14374,15.2,936628595
592226.8125,4267633,14596,15.5,936628597
592226.875,4267631.5,14588,15.3,936628599
592226.875,4267629.5,13591,15.5,936628601
592226.875,4267627.5,14074,16,936628603
592226.9375,4267625.5,14311,15.5,936628605
592226.9375,4267624,13338,15.8,936628607
592226.9375,4267621.5,13418,15.8,936628609
592227,4267620,13204,15.5,936628611
592227,4267618.5,13789,15.5,936628613
592227,4267616,13947,15.4,936628615
592227.0625,4267614.5,13761,15.9,936628617
592227.0625,4267613,14043,15.7,936628619
592227.0625,4267610.5,13615,15.4,936628621
592227.125,4267609,13932,15.3,936628623
592227.125,4267607.5,13607,15.1,936628625
592227.125,4267605,13266,15.5,936628627
592227.1875,4267603.5,13528,15.3,936628629
592227.1875,4267602,14280,15,936628631
592227.1875,4267599.5,13465,15.2,936628633
592227.25,4267598,13418,15.2,936628635
592227.25,4267596,13449,15.4,936628637
592227.3125,4267594,13069,15.6,936628639
592227.3125,4267592.5,13307,15.8,936628641
592227.3125,4267590.5,13299,15.1,936628643
592227.375,4267588.5,13283,14.5,936628645
592227.375,4267587,13868,15.4,936628647
592227.375,4267585,13583,15.2,936628649
592227.4375,4267583,13410,14.9,936628651
592227.4375,4267581.5,13101,15.3,936628653
592227.4375,4267580,13488,15.6,936628655
592227.5,4267577.5,14596,15.3,936628657
592227.5,4267576,13963,15.5,936628659
592227.5,4267574.5,11927,15.5,936628661
592227.5625,4267572,13821,15.7,936628663
592227.5625,4267570.5,13876,15.7,936628665
592227.5625,4267568.5,14066,15.1,936628667
592227.625,4267566.5,13488,15.1,936628669
592227.625,4267564.5,13441,15.2,936628671
592227.625,4267563,14113,14.9,936628673
592227.6875,4267561,13749,14.9,936628675
592227.6875,4267559,13615,15,936628677
592227.6875,4267557.5,14066,15.1,936628679
592227.75,4267555,13433,15.2,936628681
592227.75,4267553.5,13402,14.9,936628683
592227.75,4267552,13686,14.8,936628685
592227.8125,4267549.5,13963,14.8,936628687
592227.8125,4267548,14525,15.2,936628689
592227.8125,4267546,14833,15.2,936628691
592227.875,4267544,13663,15.7,936628693
592227.875,4267542.5,13038,15.5,936628695
592227.875,4267540.5,13805,15.1,936628697
592227.9375,4267538.5,14137,15,936628699
592227.9375,4267537,13599,15.3,936628701
592227.9375,4267535,14027,15.1,936628703
592228,4267533,13172,15.1,936628705
592228,4267531.5,13369,15,936628707
592228,4267530,14232,15.2,936628709
592228.0625,4267527.5,13797,14.9,936628711
592227.375,4267526,13496,15.1,936628713
592228.0625,4267524.5,14027,14.9,936628715
592228.125,4267522,13338,14.8,936628717
592227.4375,4267520.5,13227,14.7,936628719
592227.5,4267519,12429,14.6,936628721
592227.5,4267517,13172,14.8,936628723
592227.5,4267515,13970,14.6,936628725
592227.5625,4267513.5,13888,15.2,936628727
592227.5625,4267511,13408,15.2,936628729
592227.5625,4267509.5,13234,15.4,936628731
592227.625,4267507.5,12668,14.9,936628733
592227.625,4267506,12385,14.5,936628735
592227.625,4267504,12327,14.7,936628737
592227.6875,4267502,12419,14.2,936628739
592227.6875,4267500,12033,14.3,936628741
592227.75,4267498.5,12935,13.7,936628743
592227.75,4267496.5,13354,13.9,936628745
592227.75,4267494.5,12621,13.9,936628747
592227.8125,4267493,12682,14.1,936628749
592227.8125,4267491,11210,14.5,936628751
592227.8125,4267489,10285,14.5,936628753
592227.875,4267487.5,8568,14.8,936628755
592227.875,4267486,6155,14.7,936628757
592227.875,4267483.5,2325,15,936628759
592234.625,4267477.5,16129,15.7,936628791
592234.625,4267478.5,12626,14.7,936628793
592235.25,4267479.5,11441,15.1,936628795
592235.1875,4267483,10745,14.9,936628904
592235.1875,4267484,10068,14.4,936628906
592235.1875,4267485.5,10707,14.7,936628908
592235.1875,4267487,12700,14.1,936628910
592235.125,4267488.5,11962,13.8,936628912
592235.125,4267490.5,12096,14,936628914
592235.125,4267492,11562,13.7,936628916
592235.0625,4267494,11537,13.5,936628918
592235.0625,4267495.5,11006,13.5,936628920
592235.0625,4267497.5,12545,13.7,936628922
592235,4267499.5,12610,14.1,936628924
592235,4267501.5,12533,14.5,936628926
592235,4267503,12355,14.5,936628928
592234.9375,4267505,12833,14.3,936628930
592234.9375,4267507,13149,14.5,936628932
592234.9375,4267509,13449,14.3,936628934
592234.875,4267511,13357,14.6,936628936
592234.875,4267513,13480,14.3,936628938
592234.8125,4267515,13002,14.9,936628940
592234.8125,4267517,13542,14.8,936628942
592234.8125,4267519,13542,14.1,936628944
592234.75,4267520.5,13588,14.2,936628946
592234.75,4267522.5,12948,15,936628948
592234.75,4267524.5,13079,14.8,936628950
592234.6875,4267526.5,13125,14.5,936628952
592234.6875,4267528,13780,15,936628954
592234.6875,4267530,13780,14.8,936628956
592234.625,4267532,13727,15,936628958
592234.625,4267534,13427,14.6,936628960
592234.625,4267536,13935,14.9,936628962
592234.5625,4267538,13850,14.5,936628964
592234.5625,4267539.5,13133,14.5,936628966
592234.5625,4267542,13203,14.8,936628968
592234.5,4267543.5,13226,14.6,936628970
592234.5,4267545.5,13534,15,936628972
592234.5,4267547.5,13503,14.8,936628974
592234.4375,4267549.5,13534,14.7,936628976
592234.4375,4267551,13226,15.1,936628978
592234.375,4267553,13609,14.8,936628980
592234.375,4267555,13634,14.3,936628982
592234.375,4267557,13804,14.8,936628984
592234.3125,4267558.5,13103,15.2,936628986
592234.3125,4267561,13707,13.7,936628988
592234.3125,4267562.5,13272,14.7,936628990
592234.25,4267564.5,13357,14.5,936628992
592234.25,4267566.5,12940,14.7,936628994
592234.25,4267568.5,13801,14.6,936628996
592234.1875,4267570,13813,14.7,936628998
592234.1875,4267572,13950,15,936629000
592234.1875,4267574,13655,14.8,936629002
592234.125,4267575.5,13320,14.8,936629004
592234.125,4267577.5,12720,15.1,936629006
592234.125,4267580,13100,14.8,936629008
592234.0625,4267581.5,13072,15.1,936629010
592234.0625,4267583.5,13077,15.5,936629012
592234.0625,4267585.5,13860,15.4,936629014
592234,4267587,14043,15.2,936629016
592234,4267589,13518,14.7,936629018
592233.9375,4267591.5,13503,15.4,936629020
592233.9375,4267593,13866,15,936629022
592233.9375,4267595,13952,15.6,936629024
592233.875,4267597,13904,14.5,936629026
592233.875,4267598.5,14928,15.2,936629028
592233.875,4267600.5,14050,15,936629030
592233.8125,4267602.5,13580,14.7,936629032
592233.8125,4267604.5,13488,15.4,936629034
592233.8125,4267606.5,13558,15.3,936629036
592233.75,4267608,13488,15.2,936629038
592233.75,4267610.5,13719,15.5,936629040
592233.75,4267612,13888,15.2,936629042
592233.6875,4267614,13620,15.2,936629044
592233.6875,4267616,13542,15.2,936629046
592233.6875,4267618,14004,15.1,936629048
592233.625,4267619.5,13997,15.2,936629050
592233.625,4267622,13642,15,936629052
592233.625,4267623.5,13395,15,936629054
592233.5625,4267625.5,13496,15.2,936629056
592233.5625,4267627.5,13750,15.2,936629058
592233.5,4267629.5,13691,14.8,936629060
592233.5,4267631.5,13472,15.6,936629062
592233.5,4267633,13559,15.8,936629064
592233.4375,4267635,13505,15.3,936629066
592233.4375,4267637,14091,15.4,936629068
592233.4375,4267638.5,14153,15.9,936629070
592233.375,4267640.5,13987,15.7,936629072
592233.375,4267642.5,13987,15.6,936629074
592233.375,4267644,14099,15.7,936629076
592233.3125,4267646,13785,15.2,936629078
592233.3125,4267648,13634,15.7,936629080
592233.3125,4267649.5,13141,15.3,936629082
592233.25,4267651.5,13079,15.7,936629084
592233.25,4267653.5,13925,15.9,936629086
592233.25,4267655,14073,15.8,936629088
592233.1875,4267657.5,13427,15.8,936629090
592233.1875,4267659,13572,16.1,936629092
592233.1875,4267661,13449,15.8,936629094
592233.125,4267663,14074,15.5,936629096
592233.125,4267665,13801,16.1,936629098
592233.125,4267666.5,13004,15.7,936629100
592233.0625,4267669,13317,15,936629102
592233.0625,4267670.5,13894,15.5,936629104
592233,4267672.5,13527,15.6,936629106
592233,4267674.5,13199,15.2,936629108
592233,4267676.5,12934,15.2,936629110
592232.9375,4267678,12606,15.3,936629112
592232.9375,4267680,11630,14.8,936629114
592232.9375,4267682,13028,15.3,936629116
592232.875,4267684,13199,15.2,936629118
592232.875,4267685.5,13941,15.2,936629120
592232.875,4267687.5,13870,16.1,936629122
592232.8125,4267689.5,13972,15.5,936629124
592232.8125,4267691,14002,15.4,936629126
592232.8125,4267693,13904,16,936629128
592232.75,4267695,14529,15.5,936629130
592232.75,4267696.5,14579,15.3,936629132
592232.75,4267698.5,14027,15.6,936629134
