Easting,Northing,Yield,Moisture,Time
592371.2178,4270384.907,3727.158502,10.8,838234275
592372.2631,4270384.919,3782.296009,10.7,838234276
592373.3084,4270384.932,3731.533488,11.1,838234277
592374.2665,4270384.943,3994.293109,11.1,838234278
592375.2247,4270384.954,5292.582446,10.9,838234279
592376.0958,4270384.964,3768.172412,11.1,838234280
592376.9669,4270384.974,4523.400911,11.4,838234281
592377.838,4270384.984,4433.598297,11.6,838234282
592378.7091,4270384.994,4032.512938,11.4,838234283
592379.4059,4270385.002,5516.130924,11.1,838234284
592380.1899,4270385.011,4979.511607,11.1,838234285
592380.9739,4270385.02,5751.445578,11,838234286
592381.6707,4270385.028,4787.604424,11,838234287
592382.4547,4270385.037,4493.072746,11.2,838234288
592383.0645,4270385.044,4273.224408,11.4,838234289
592383.7613,4270385.052,3410.864615,11.1,838234290
592384.4582,4270385.06,3434.309187,11.4,838234291
592385.068,4270385.067,2992.350068,11.2,838234292
592385.7648,4270385.075,2579.763998,11,838234293
592386.3746,4270385.082,3095.597166,11.4,838234294
592386.8972,4270385.088,2598.323304,11.3,838234295
592387.4199,4270385.094,3310.006108,10.9,838234296
592387.8554,4270385.099,2909.127527,11.3,838234297
592388.3781,4270385.106,3065.209413,11.1,838234298
592388.8136,4270385.111,2547.599494,10.9,838234299
592389.3363,4270385.117,1875.337318,10.8,838234300
592389.7718,4270385.122,1305.377737,11.3,838234301
592390.2073,4270385.127,1525.682373,11.1,838234302
592390.5558,4270385.131,1977.856621,10.6,838234303
592390.8171,4270385.134,2486.5646,10.6,838234304
592390.9913,4270385.136,2482.785626,10.6,838234306
592391.3397,4270385.14,952.301336,10.6,838234307
592391.8624,4270385.146,551.3323524,10.6,838234308
592398.5736,4270392.437,128.6893697,10.6,838234357
592397.354,4270392.423,629.199097,10.6,838234359
592396.9185,4270392.418,1058.112596,10.6,838234361
592395.8732,4270392.406,348.3834422,5.9,838234363
592395.2634,4270392.399,1169.188174,8.2,838234364
592394.6537,4270392.392,1013.3381,9.4,838234365
592393.9568,4270392.384,1047.460455,10,838234366
