Easting,Northing,Yield,Moisture,Time
592103.6875,4267817.5,3103,7.5,903529926
592103.75,4267816,2821,8,903529928
592103.75,4267814,2896,8.5,903529930
592103.75,4267811.5,2990,8.3,903529932
592103.8125,4267809.5,3018,9,903529934
592103.8125,4267808,2641,9.1,903529936
592103.8125,4267805.5,2519,8.6,903529938
592103.875,4267804,2262,10.1,903529940
592103.875,4267802,2538,11.2,903529942
592103.875,4267800,2641,12.7,903529944
592103.9375,4267798,3226,9.6,903529946
592103.9375,4267796,3282,11.5,903529948
592104,4267794,3235,12,903529950
592104,4267791.5,3056,11.6,903529952
592104,4267790,3198,12.3,903529954
592104.0625,4267788,2538,13.2,903529956
592104.0625,4267786,2377,12.6,903529958
592104.0625,4267783.5,2509,12.4,903529960
592104.125,4267782,2830,12,903529962
592104.125,4267780,3245,12.9,903529964
592104.1875,4267778,3509,11.8,903529966
592104.1875,4267776,2839,11.8,903529968
592104.1875,4267774,2622,10.8,903529970
592104.25,4267772,2424,10.4,903529972
592104.25,4267770,2794,9.7,903529974
592104.25,4267768,3235,9.9,903529976
592104.3125,4267766,3169,10.2,903529978
592104.3125,4267764,3084,11.1,903529980
592104.3125,4267762,2924,9.5,903529982
592104.375,4267760.5,2896,10,903529984
592104.375,4267758.5,3156,10.3,903529986
592104.4375,4267756,3091,10.2,903529988
592104.4375,4267754,2783,9.8,903529990
592104.4375,4267752.5,2868,9.5,903529992
592104.5,4267750.5,2988,9.2,903529994
592104.5,4267748,2291,10.7,903529996
592104.5,4267746.5,2255,9.8,903529998
592104.5625,4267744.5,2430,9.7,903530000
592104.5625,4267742.5,2934,9.7,903530002
592104.5625,4267740.5,3138,9,903530004
592104.625,4267738.5,2876,8.7,903530006
592104.625,4267736.5,2990,9.3,903530008
592104.625,4267734.5,2538,9.4,903530010
592104.6875,4267732.5,2330,9.8,903530012
592104.6875,4267731,2311,10.9,903530014
592104.75,4267728.5,2471,10.4,903530016
592104.75,4267726.5,2717,10.2,903530018
592104.75,4267724.5,2292,10.4,903530020
592104.8125,4267722.5,2744,9.9,903530022
592104.8125,4267720.5,2622,9,903530024
592104.8125,4267718.5,2754,8,903530026
592104.875,4267717,3026,7.4,903530028
592104.875,4267714.5,3193,7,903530030
592104.9375,4267712.5,3101,7.6,903530032
592104.9375,4267710.5,2971,7.7,903530034
592104.9375,4267709,2255,8,903530036
592105,4267706.5,2281,8.2,903530038
592105,4267704.5,2480,8.5,903530040
592104.375,4267703,2830,7.8,903530042
592105.0625,4267700.5,2988,8.2,903530044
592105.0625,4267698.5,3000,8.5,903530046
592104.4375,4267697,2681,8.5,903530048
592104.4375,4267695,2952,9.2,903530050
592104.5,4267692.5,2896,8,903530052
592104.5,4267691,2981,7.4,903530054
592104.5,4267689,2914,7.8,903530056
592104.5625,4267687,2858,7.7,903530058
592104.5625,4267685,2528,9.1,903530060
592104.5625,4267683,2612,8.5,903530062
592104.625,4267681,3198,8.1,903530064
592104.625,4267679,3184,8.8,903530066
592104.625,4267677,2764,9.5,903530068
592104.6875,4267675,2737,8.1,903530070
592104.6875,4267673,3377,8.4,903530072
592104.75,4267671,3179,8.5,903530074
592104.75,4267669,3094,8.2,903530076
592104.75,4267667.5,3235,9.5,903530078
592105.4375,4267665,3150,10.7,903530080
592104.8125,4267663,3018,10.4,903530082
592104.8125,4267661.5,2783,7.5,903530084
592104.875,4267659,2886,8.7,903530086
592104.875,4267657,3188,9.3,903530088
592104.875,4267655.5,3056,9.2,903530090
592104.9375,4267653.5,2952,10.2,903530092
592104.9375,4267651.5,2962,8.9,903530094
592105,4267649.5,3245,10.2,903530096
592105,4267647.5,3226,10.7,903530098
592105,4267645.5,2792,10.4,903530100
592105.0625,4267643.5,3094,9.9,903530102
592105.0625,4267641.5,3324,9.4,903530104
592105.0625,4267640,3282,8.7,903530106
592105.125,4267637.5,3311,8.5,903530108
592105.125,4267635.5,3047,8.6,903530110
592105.125,4267634,3037,9,903530112
592105.1875,4267631.5,3282,9.5,903530114
592105.1875,4267629.5,3424,10,903530116
592105.25,4267627.5,3340,10.1,903530118
592105.25,4267626,3056,10,903530120
592105.25,4267623.5,2924,10.1,903530122
592105.3125,4267622,2944,9.7,903530124
592105.3125,4267620,3113,10.8,903530126
592105.3125,4267618,3169,9.7,903530128
592105.375,4267615.5,3307,10,903530130
592105.375,4267614,3403,10.2,903530132
592105.375,4267612,2924,9.9,903530134
592106.0625,4267609.5,2992,11,903530136
592106.125,4267608,3269,9.6,903530138
592106.125,4267606,2972,11.1,903530140
592105.5,4267604,2744,11.2,903530142
592106.1875,4267602,2839,9.6,903530144
592106.1875,4267600.5,3068,10.4,903530146
592106.25,4267598.5,3469,8.9,903530148
592106.25,4267596.5,3374,9.9,903530150
592106.25,4267594.5,3116,10.2,903530152
592105.625,4267592.5,3169,9.5,903530154
592106.3125,4267590.5,3221,8.9,903530156
592105.6875,4267588.5,3068,9.2,903530158
592105.6875,4267586.5,2849,8.5,903530160
592105.6875,4267584.5,2905,8.9,903530162
592105.75,4267582.5,2591,9,903530164
592105.75,4267581,3278,9.8,903530166
592105.8125,4267579,3298,9.3,903530168
592105.8125,4267577,2897,9.7,903530170
592105.8125,4267575,2504,10,903530172
592105.875,4267573,2533,8.7,903530174
592105.875,4267571,2934,9,903530176
592105.875,4267569.5,3078,9.1,903530178
592105.9375,4267567.5,3088,7.8,903530180
592105.9375,4267565.5,2801,8.6,903530182
592105.9375,4267563,2810,8.3,903530184
592106,4267561.5,2944,8.9,903530186
592106,4267559.5,3230,9.1,903530188
592106,4267557.5,2982,9,903530190
592106.0625,4267555.5,2566,9.3,903530192
592106.0625,4267553.5,2226,9.7,903530194
592106.0625,4267551.5,2447,10.6,903530196
592106.125,4267549.5,2447,10.9,903530198
592106.125,4267547.5,2628,11.4,903530200
592106.1875,4267546,2724,13.3,903530202
592106.1875,4267543.5,2046,11.7,903530204
592106.1875,4267541.5,1988,11.9,903530206
592106.25,4267540,2093,12.1,903530208
