Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.936909,38.554481,31.7,44.4,592630.313,4267874.5
-121.936892,38.554481,31.3,44.1,592632.313,4267874.5
-121.936883,38.554481,31.6,41.9,592632.938,4267874.5
-121.936866,38.554481,31.6,45.4,592634.313,4267874.5
-121.936849,38.554482,32.2,44.2,592635.625,4267874.5
-121.936832,38.554482,31,42.9,592637.625,4267874.5
-121.936736,38.554482,27.9,52.2,592645.563,4267874.5
-121.936707,38.554481,28.8,52.9,592648.25,4267874.5
-121.936695,38.554481,31.7,50.6,592649.563,4267874.5
-121.936683,38.554481,32,51,592650.25,4267874.5
-121.936671,38.554481,31,51.1,592651.563,4267874.5
-121.936655,38.554482,26.9,45.2,592652.875,4267874.5
-121.936643,38.554482,27.1,-29,592653.563,4267874.5
-121.936631,38.554482,28.1,40.3,592654.875,4267874.5
-121.936614,38.554482,28.5,44.5,592656.25,4267874.5
-121.936511,38.554483,32.8,49.7,592665.5,4267875
-121.936492,38.554483,32.6,51.7,592666.875,4267875
-121.93633,38.554486,32,52.9,592680.813,4267875.5
-121.936306,38.554486,26,49.5,592682.813,4267875.5
-121.936286,38.554486,25.3,54.6,592684.813,4267875.5
-121.936272,38.554486,28.6,-28,592686.125,4267875.5
-121.936253,38.554486,30.5,-29,592687.438,4267875.5
-121.936151,38.554484,32.7,-29,592696.75,4267875.5
-121.936096,38.554482,29.4,-29,592701.438,4267875.5
-121.936085,38.554483,28.5,-29,592702.125,4267875.5
-121.936073,38.554484,28.3,-29,592703.438,4267875.5
-121.936062,38.554484,31.2,-29,592704.063,4267875.5
-121.93605,38.554485,28.1,-29,592705.438,4267875.5
-121.936039,38.554486,27,55.4,592706.063,4267875.5
-121.936014,38.554487,27.5,56.7,592708.75,4267876
-121.935989,38.554487,29,51.3,592710.75,4267876
-121.935976,38.554487,31.5,53,592712.063,4267876
-121.935962,38.554488,30.7,54.6,592713.375,4267876
-121.935949,38.554488,28.5,50.7,592714.063,4267876.5
-121.935931,38.554488,28.2,53.8,592716.063,4267876.5
-121.935908,38.554488,28,56.5,592718.063,4267876.5
-121.935879,38.554488,28.8,55.2,592720.063,4267876.5
-121.935856,38.554487,29.9,55.2,592722.063,4267876
-121.935829,38.554488,32.2,54.6,592724.688,4267876.5
-121.935793,38.554488,33.4,57.3,592728,4267876.5
-121.935758,38.554489,31.4,56.6,592730.688,4267876.5
