Easting,Northing,Yield
592082.1875,4270728,4046
592077.5625,4270728,1782
592076.875,4270728,1221
592076.1875,4270728,1354
592075.5625,4270728,788
592071.5625,4270728,1760
592070.25,4270728,722
592068.875,4270728,799
592067.5625,4270728,1188
592066.25,4270727.5,1354
592059.5625,4270727.5,2520
592034.625,4271107.5,1347
592430.125,4270874.5,1996
592192.6875,4271116,748
592416.6875,4271117,1514
592451.25,4271117,976
592454.5625,4271117,726
592456.5625,4271117,793
592458.5,4271117,527
592435.3125,4270881.5,4019
592047.875,4270822,1658
592041.875,4270822,776
592039.875,4270822,466
592037.25,4270822,360
592353.875,4270799,1791
592422.3125,4270799,1469
592424.3125,4270799,1574
592426.3125,4270799,1547
592287.3125,4270748.5,898
592285.3125,4270748.5,499
592280.6875,4270748.5,1780
592266.6875,4270748.5,1913
592262.0625,4270748.5,1985
592260.75,4270748.5,1841
592244.125,4270748.5,2323
592232.8125,4270748.5,1730
592231.5,4270748.5,1896
592194.9375,4270748.5,1519
592190.3125,4270748.5,1525
592182.3125,4270748,4346
592181.625,4270748,3382
592181,4270748,4036
592176.3125,4270748.5,1236
592171,4270748,987
592169.6875,4270748.5,1319
592164.375,4270748.5,1669
592163.0625,4270748.5,1386
592158.375,4270748.5,1430
592152.375,4270748,1602
592151.0625,4270748,1730
592149.75,4270748,1613
592143.75,4270748.5,1064
592139.75,4270748.5,1830
592134.4375,4270748.5,1419
592133.125,4270748.5,1203
592128.5,4270748.5,1347
592123.8125,4270748.5,1441
592111.1875,4270748,1563
592109.875,4270748,1458
592105.25,4270747.5,1375
592103.25,4270747.5,1552
592098.5625,4270748,1314
592097.25,4270748,1203
592092.5625,4270748,1364
592091.25,4270748.5,1525
592089.25,4270748.5,1719
592087.9375,4270748.5,1491
592085.9375,4270748.5,1070
592084.625,4270748.5,621
592082.625,4270748.5,371
592081.3125,4270748,227
592079.9375,4270748,765
592078.625,4270748,2717
592077.3125,4270748,3764
592077.3125,4270748,3094
592076,4270748,399
592075.3125,4270747.5,621
592073.3125,4270748,1630
592072.625,4270748,2900
592072.625,4270748,1264
592072,4270748,954
592070.625,4270748,776
592068.6875,4270748,4080
592068,4270748,970
592066.6875,4270748,493
592066,4270748,1076
592065.3125,4270748,1907
592065.3125,4270748,4302
592064,4270748,1430
592062.6875,4270748.5,1453
592061.375,4270748.5,1419
592056.6875,4270748,1275
592055.375,4270748,1336
592054.0625,4270748,1586
