Easting,Northing,Yield
592101.250,4267566.500,189840
592101.312,4267560.000,69360
592101.438,4267552.000,77520
592101.562,4267540.000,57840
592101.750,4267523.000,80880
592102.000,4267503.500,86640
592102.125,4267489.500,87360
592102.250,4267482.000,91440
592177.875,4267495.500,72000
592177.812,4267502.000,67440
592177.750,4267506.500,78000
592177.625,4267516.500,129600
592177.500,4267529.500,67920
592177.438,4267536.500,65520
592177.375,4267541.500,65040
592177.312,4267547.000,97920
592177.250,4267552.500,95520
592177.188,4267558.500,105600
592177.062,4267564.500,91200
592177.000,4267574.500,199680
592176.812,4267590.000,53520
592176.688,4267600.000,122640
592176.625,4267603.500,160560
592176.562,4267609.500,127440
592176.500,4267617.000,67440
592176.438,4267622.000,147120
592176.312,4267634.000,60960
592176.188,4267645.000,97680
592176.125,4267650.000,121200
592176.688,4267656.500,100320
592176.625,4267664.000,118560
592176.438,4267679.000,67920
592176.250,4267696.500,77280
592176.125,4267708.000,106080
592176.000,4267716.500,125280
592175.875,4267725.500,125760
592175.812,4267733.500,86160
592175.750,4267738.500,105360
592175.688,4267742.500,84240
592175.625,4267750.000,74400
592175.562,4267757.500,101040
592175.500,4267763.000,170400
592175.375,4267772.000,54720
592175.188,4267786.000,92160
592175.000,4267801.500,87840
592175.562,4267813.500,86880
592175.500,4267820.500,103680
592175.375,4267827.500,182640
592174.625,4267835.500,81120
592174.562,4267842.000,135840
592174.438,4267851.000,157680
592174.375,4267858.500,55440
592175.000,4267863.500,83760
592100.688,4267848.500,72960
592100.750,4267841.500,64560
592100.875,4267831.500,46560
592101.000,4267822.500,105120
592101.062,4267813.500,127920
592101.188,4267805.000,58320
592101.312,4267796.500,59520
592101.438,4267780.500,62880
592101.625,4267766.000,76080
592101.062,4267757.500,82800
592101.188,4267748.000,85680
592101.312,4267735.000,65760
592101.438,4267727.000,140400
592101.562,4267715.500,200640
592101.688,4267703.500,85200
592101.812,4267693.500,184560
592101.938,4267684.000,90720
592102.062,4267673.500,138240
592102.188,4267662.000,60240
592102.250,4267656.000,139200
592102.312,4267649.000,97440
592102.438,4267641.000,93840
592102.500,4267634.000,57360
592102.562,4267628.000,107760
592102.625,4267623.000,82800
592102.750,4267612.500,151680
592102.938,4267596.500,46320
592102.438,4267581.500,86400
592102.562,4267572.000,147840
592102.625,4267564.000,258720
592102.812,4267549.500,74400
592102.938,4267535.000,114480
592103.125,4267522.500,164160
592103.188,4267514.000,86160
592103.250,4267509.000,32640
592103.312,4267502.500,50640
592103.438,4267496.000,69840
592103.500,4267490.500,33120
592103.500,4267486.500,88560
592103.562,4267482.500,165840
592176.062,4267482.000,58560
592176.500,4267501.000,23520
592176.375,4267513.000,51120
592176.250,4267522.000,74400
592176.062,4267536.000,47040
592175.875,4267552.500,75600
592175.750,4267565.000,98640
592175.625,4267575.500,104640
592175.500,4267584.500,89040
592175.375,4267597.000,222000
592175.250,4267610.000,57120
592175.125,4267617.500,117840
592175.062,4267624.000,52560
592175.000,4267630.000,87360
592174.938,4267637.000,94080
592174.875,4267644.000,73920
592175.438,4267649.000,81600
592175.438,4267652.000,113520
592175.312,4267660.500,152880
592175.250,4267668.500,98640
592175.188,4267672.000,168240
592175.062,4267681.000,71040
592174.938,4267695.000,59040
592174.812,4267703.500,101520
592174.750,4267709.000,91440
